Timestamp data collected on 2025-06-26 18:27:13
00000000,02F3BF2E,00000003,02F54F2C
00010000,02F48730,00010004,02F6172E
00020001,02F54F2D,00020005,02F6DF2E
00030002,02F6172E,00030006,02F7A72C
00040003,02F6DF30,00040007,02F86F2C
00050004,02F7A72C,00050008,02F9372C
00060005,02F86F2C,00060009,02F9FF28
00070006,02F9372E,0007000A,02FAC729
00080007,02F9FF2B,0008000B,02FB8F2C
00090008,02FAC72A,0009000C,02FC572A
000A0009,02FB8F2D,000A000D,02FD1F2B
000B000A,02FC572C,000B000E,02FDE726
000C000B,02FD1F2C,000C000F,02FEAF26
000D000C,02FDE728,000D0010,02FF7728
000E000D,02FEAF29,000E0011,03003F2B
000F000E,02FF772A,000F0012,0301072E
0010000F,03003F2C,00100013,0301CF28
00110010,03010730,00110014,03029728
00120011,0301CF2A,00120015,03035F26
00130012,0302972A,00130016,03042728
00140013,03035F29,00140017,0304EF26
00150014,0304272A,00150018,0305B727
00160015,0304EF29,00160019,03067F28
00170016,0305B72A,0017001A,03074726
00180017,03067F2A,0018001B,03080F24
00190018,03074728,0019001C,0308D724
001A0019,03080F26,001A001D,03099F24
001B001A,0308D722,001B001E,030A6724
001C001B,03099F22,001C001F,030B2F26
001D001C,030A6725,001D0020,030BF726
001E001D,030B2F28,001E0021,030CBF24
001F001E,030BF72A,001F0022,030D8724
0020001F,030CBF24,00200023,030E4F23
00210020,030D8725,00210024,030F1724
00220021,030E4F22,00220025,030FDF24
00230022,030F1722,00230026,0310A724
00240023,030FDF24,00240027,03116F24
00250024,0310A722,00250028,03123724
00260025,03116F24,00260029,0312FF1C
00270026,03123722,0027002A,0313C71C
00280027,0312FF1C,0028002B,03148F24
00290028,0313C71D,0029002C,03155722
002A0029,03148F22,002A002D,03161F24
002B002A,03155721,002B002E,0316E724
002C002B,03161F23,002C002F,0317AF1E
002D002C,0316E722,002D0030,0318771E
002E002D,0317AF1E,002E0031,03193F1C
002F002E,0318771E,002F0032,031A071C
0030002F,03193F1E,00300033,031ACF24
00310030,031A071B,00310034,031B9723
00320031,031ACF22,00320035,031C5F1C
00330032,031B9720,00330036,031D271C
00340033,031C5F1E,00340037,031DEF1A
00350034,031D271B,00350038,031EB71B
00360035,031DEF18,00360039,031F7F1C
00370036,031EB71A,0037003A,0320471E
00380037,031F7F1C,0038003B,03210F1E
00390038,0320471E,0039003C,0321D71A
003A0039,03210F1E,003A003D,03229F18
003B003A,0321D718,003B003E,03236718
003C003B,03229F18,003C003F,03242F18
003D003C,03236718,003D0040,0324F71A
003E003D,03242F17,003E0041,0325BF1E
003F003E,0324F71A,003F0042,0326871C
0040003F,0325BF1E,00400043,03274F1C
00410040,0326871E,00410044,03281718
00420041,03274F1B,00420045,0328DF18
00430042,03281716,00430046,0329A718
00440043,0328DF18,00440047,032A6F18
00450044,0329A717,00450048,032B3718
00460045,032A6F18,00460049,032BFF18
00470046,032B3717,0047004A,032CC718
00480047,032BFF18,0048004B,032D8F16
00490048,032CC717,0049004C,032E5718
004A0049,032D8F14,004A004D,032F1F16
004B004A,032E5716,004B004E,032FE718
004C004B,032F1F14,004C004F,0330AF18
004D004C,032FE717,004D0050,03317716
004E004D,0330AF17,004E0051,03323F13
004F004E,03317714,004F0052,03330713
0050004F,03323F10,00500053,0333CF14
00510050,03330710,00510054,03349714
00520051,0333CF14,00520055,03355F16
00530052,03349713,00530056,03362714
00540053,03355F14,00540057,0336EF16
00550054,03362714,00550058,0337B712
00560055,0336EF14,00560059,03387F13
00570056,0337B710,0057005A,03394712
00580057,03387F10,0058005B,033A0F16
00590058,0339470D,0059005C,033AD712
005A0059,033A0F14,005A005D,033B9F16
005B005A,033AD70D,005B005E,033C6714
005C005B,033B9F15,005C005F,033D2F12
005D005C,033C6710,005D0060,033DF714
005E005D,033D2F0D,005E0061,033EBF12
005F005E,033DF714,005F0062,033F8712
0060005F,033EBF10,00600063,03404F12
00610060,033F8710,00610064,03411712
00620061,03404F10,00620065,0341DF14
00630062,0341170F,00630066,0342A70E
00640063,0341DF12,00640067,03436F0E
00650064,0342A70C,00650068,03443712
00660065,03436F0A,00660069,0344FF0E
00670066,0344370C,0067006A,0345C712
00680067,0344FF0B,0068006B,03468F0F
00690068,0345C70C,0069006C,0347570E
006A0069,03468F0C,006A006D,03481F0C
006B006A,0347570A,006B006E,0348E70C
006C006B,03481F0A,006C006F,0349AF0C
006D006C,0348E708,006D0070,034A770E
006E006D,0349AF08,006E0071,034B3F0E
006F006E,034A770B,006F0072,034C070E
0070006F,034B3F0A,00700073,034CCF09
00710070,034C070B,00710074,034D970A
00720071,034CCF06,00720075,034E5F0B
00730072,034D9706,00730076,034F270A
00740073,034E5F08,00740077,034FEF0A
00750074,034F2708,00750078,0350B70E
00760075,034FEF06,00760079,03517F0C
00770076,0350B70A,0077007A,03524708
00780077,03517F08,0078007B,03530F08
00790078,03524706,0079007C,0353D708
007A0079,03530F06,007A007D,03549F0C
007B007A,0353D706,007B007E,0355670A
007C007B,03549F08,007C007F,03562F08
007D007C,03556706,007D0080,0356F70A
007E007D,03562F06,007E0081,0357BF0A
007F007E,0356F708,007F0082,03588706
0080007F,0357BF06,00800083,03594F08
00810080,03588704,00810084,035A1707
00820081,03594F06,00820085,035ADF08
00830082,035A1705,00830086,035BA708
00840083,035ADF06,00840087,035C6F06
00850084,035BA706,00850088,035D3703
00860085,035C6F04,00860089,035DFF04
00870086,035D3703,0087008A,035EC703
00880087,035DFF03,0088008B,035F8F06
00890088,035EC703,0089008C,03605706
008A0089,035F8F04,008A008D,03611F06
008B008A,03605704,008B008E,0361E703
008C008B,03611F04,008C008F,0362AF03
008D008C,0361E703,008D0090,03637702
008E008D,0362AF03,008E0091,03643F03
008F008E,03637701,008F0092,03650703
0090008F,03643F03,00900093,0365CF03
00910090,03650702,00910094,03669703
00920091,0365CF03,00920095,03675F03
00930092,03669703,00930096,03682702
00940093,03675F02,00940097,0368EF03
00950094,03682702,00950098,0369B703
00960095,0368EF02,00960099,036A7F03
00970096,0369B702,0097009A,036B4703
00980097,036A7F03,0098009B,036C0F03
00990098,036B4703,0099009C,036CD702
009A0099,036C0F02,009A009D,036D9F03
009B009A,036CD702,009B009E,036E6702
009C009B,036D9F02,009C009F,036F2F02
009D009C,036E6702,009D00A0,036FF702
009E009D,036F2F01,009E00A1,0370BF02
009F009E,036FF702,009F00A2,03718702
00A0009F,0370BF01,00A000A3,03724F02
00A100A0,03718701,00A100A3,03731701
00A200A1,03724F01,00A200A5,0373DF01
00A300A2,037318C0,00A300A5,0374A701
00A400A3,0373DF01,00A400A7,03756F02
00A500A4,0374A8C0,00A500A7,03763701
00A600A5,03756F01,00A600A9,037700C0
00A700A6,037638C0,00A700AA,0377C8C0
00A800A7,037700C0,00A800AB,037890C0
00A900A8,0377C8C0,00A900AC,037958C0
00AA00A9,037890C0,00AA00AD,037A20C0
00AB00AA,037958C0,00AB00AE,037AE8C0
00AC00AB,037A20C0,00AC00AF,037BB0C0
00AD00AC,037AE8C0,00AD00B0,037C78C0
00AE00AD,037BB0C0,00AE00B1,037D40C0
00AF00AE,037C78C0,00AF00B2,037E08C0
00B000AF,037D40C0,00B000B2,037ECF01
00B100B0,037E08C0,00B100B3,037F9701
00B200B1,037ED0C0,00B200B5,038060C0
00B300B2,037F98C0,00B300B5,03812701
00B400B3,038060C0,00B400B7,0381F0C0
00B500B4,038128C0,00B500B8,0382B8C0
00B600B5,0381F0C0,00B600B9,038380C0
00B700B6,0382B8C0,00B700BA,038448C0
00B800B7,038380C0,00B800BB,038510C0
00B900B8,038448C0,00B900BC,0385D8C0
00BA00B9,038510C0,00BA00BD,0386A0C0
00BB00BA,0385D8C0,00BB00BE,038768C0
00BC00BB,0386A0C0,00BC00BF,038830C0
00BD00BC,038768C0,00BD00C0,0388F8C0
00BE00BD,038830C0,00BE00C1,0389C0C0
00BF00BE,0388F8C0,00BF00C2,038A88C0
00C000BF,0389C0C0,00C000C3,038B50C0
00C100C0,038A88C0,00C100C4,038C18C0
00C200C1,038B50C0,00C200C5,038CE0C0
00C300C2,038C18C0,00C300C6,038DA8C0
00C400C3,038CE0C0,00C400C7,038E70C0
00C500C4,038DA8C0,00C500C8,038F38C0
00C600C5,038E70C0,00C600C9,039000C0
00C700C6,038F38C0,00C700CA,0390C8C0
00C800C7,039000C0,00C800CB,039190C0
00C900C8,0390C8C0,00C900CC,039258C0
00CA00C9,039190C0,00CA00CD,039320C0
00CB00CA,039258C0,00CB00CE,0393E8C0
00CC00CB,039320C0,00CC00CF,0394B0C0
00CD00CC,0393E8C0,00CD00D0,039578C0
00CE00CD,0394B0C0,00CE00D1,039640C0
00CF00CE,039578C0,00CF00D2,039708C0
00D000CF,039640BF,00D000D3,0397D0C0
00D100D0,039708C0,00D100D4,039898C0
00D200D1,0397D0C0,00D200D5,039960C0
00D300D2,039898C0,00D300D6,039A28C0
00D400D3,039960C0,00D400D7,039AF0C0
00D500D4,039A28C0,00D500D8,039BB8C0
00D600D5,039AF0C0,00D600D9,039C80C0
00D700D6,039BB8C0,00D700DA,039D48BE
00D800D7,039C80C0,00D800DB,039E10C0
00D900D8,039D48BC,00D900DC,039ED8C0
00DA00D9,039E10BE,00DA00DD,039FA0C0
00DB00DA,039ED8C0,00DB00DE,03A068C0
00DC00DB,039FA0BE,00DC00DF,03A130BE
00DD00DC,03A068BE,00DD00E0,03A1F8BE
00DE00DD,03A130BA,00DE00E1,03A2C0BC
00DF00DE,03A1F8BE,00DF00E2,03A388C0
00E000DF,03A2C0BA,00E000E3,03A450BE
00E100E0,03A388BE,00E100E4,03A518BE
00E200E1,03A450BC,00E200E5,03A5E0BE
00E300E2,03A518BD,00E300E6,03A6A8BC
00E400E3,03A5E0BE,00E400E7,03A770BD
00E500E4,03A6A8BA,00E500E8,03A838BE
00E600E5,03A770BA,00E600E9,03A900C0
00E700E6,03A838BE,00E700EA,03A9C8BE
00E800E7,03A900BE,00E800EB,03AA90BE
00E900E8,03A9C8BE,00E900EC,03AB58BD
00EA00E9,03AA90BC,00EA00ED,03AC20BC
00EB00EA,03AB58BA,00EB00EE,03ACE8BC
00EC00EB,03AC20B8,00EC00EF,03ADB0B8
00ED00EC,03ACE8BA,00ED00F0,03AE78BB
00EE00ED,03ADB0B6,00EE00F1,03AF40B8
00EF00EE,03AE78B8,00EF00F2,03B008BC
00F000EF,03AF40B6,00F000F3,03B0D0B6
00F100F0,03B008B9,00F100F4,03B198B8
00F200F1,03B0D0B4,00F200F5,03B260B8
00F300F2,03B198B6,00F300F6,03B328B8
00F400F3,03B260B6,00F400F7,03B3F0BC
00F500F4,03B328B4,00F500F8,03B4B8B8
00F600F5,03B3F0B8,00F600F9,03B580BA
00F700F6,03B4B8B6,00F700FA,03B648B6
00F800F7,03B580B8,00F800FB,03B710B8
00F900F8,03B648B4,00F900FC,03B7D8B8
00FA00F9,03B710B4,00FA00FD,03B8A0B8
00FB00FA,03B7D8B5,00FB00FE,03B968B8
00FC00FB,03B8A0B6,00FC00FF,03BA30B8
00FD00FC,03B968B6,00FD0100,03BAF8B8
00FE00FD,03BA30B6,00FE0101,03BBC0B8
00FF00FE,03BAF8B6,00FF0102,03BC88B8
010000FF,03BBC0B5,01000103,03BD50B6
01010100,03BC88B4,01010104,03BE18B6
01020101,03BD50B4,01020105,03BEE0B6
01030102,03BE18B4,01030106,03BFA8B8
01040103,03BEE0B4,01040107,03C070B6
01050104,03BFA8B6,01050108,03C138B6
01060105,03C070B4,01060109,03C200B6
01070106,03C138B4,0107010A,03C2C8B6
01080107,03C200B4,0108010B,03C390B8
01090108,03C2C8B4,0109010C,03C458B4
010A0109,03C390B4,010A010D,03C520B5
010B010A,03C458B2,010B010E,03C5E8B5
010C010B,03C520B2,010C010F,03C6B0AE
010D010C,03C5E8B3,010D0110,03C778B2
010E010D,03C6B0AA,010E0111,03C840B2
010F010E,03C778B1,010F0112,03C908B6
0110010F,03C840B0,01100113,03C9D0B2
01110110,03C908B4,01110114,03CA98B3
01120111,03C9D0B0,01120115,03CB60B2
01130112,03CA98B2,01130116,03CC28B4
01140113,03CB60B0,01140117,03CCF0AF
01150114,03CC28B2,01150118,03CDB8B2
01160115,03CCF0AE,01160119,03CE80B2
01170116,03CDB8B0,0117011A,03CF48B2
01180117,03CE80B0,0118011B,03D010AF
01190118,03CF48B0,0119011C,03D0D8B2
011A0119,03D010AE,011A011D,03D1A0B2
011B011A,03D0D8B0,011B011E,03D268AF
011C011B,03D1A0B0,011C011F,03D330B0
011D011C,03D268AE,011D0120,03D3F8AF
011E011D,03D330AE,011E0121,03D4C0B2
011F011E,03D3F8AE,011F0122,03D588AF
0120011F,03D4C0B0,01200123,03D650AD
01210120,03D588AE,01210124,03D718AF
01220121,03D650AA,01220125,03D7E0AC
01230122,03D718AE,01230126,03D8A8AE
01240123,03D7E0A7,01240127,03D970AF
01250124,03D8A8AB,01250128,03DA38AC
01260125,03D970AE,01260129,03DB00AC
01270126,03DA38AA,0127012A,03DBC8AE
01280127,03DB00AA,0128012B,03DC90AC
01290128,03DBC8AA,0129012C,03DD58AC
012A0129,03DC90AA,012A012D,03DE20B2
012B012A,03DD58AA,012B012E,03DEE8AC
012C012B,03DE20B0,012C012F,03DFB0AC
012D012C,03DEE8A9,012D0130,03E078A9
012E012D,03DFB0A7,012E0131,03E140AD
012F012E,03E078A4,012F0132,03E208AA
0130012F,03E140AA,01300133,03E2D0AC
01310130,03E208A5,01310134,03E398AC
01320131,03E2D0A6,01320135,03E460AC
01330132,03E398A8,01330136,03E528AC
01340133,03E460AA,01340137,03E5F0AA
01350134,03E528A7,01350138,03E6B8AC
01360135,03E5F0A6,01360139,03E780AA
01370136,03E6B8A9,0137013A,03E848AC
01380137,03E780A4,0138013B,03E910AA
01390138,03E848A9,0139013C,03E9D8AA
013A0139,03E910A6,013A013D,03EAA0A8
013B013A,03E9D8A6,013B013E,03EB68B2
013C013B,03EAA0A3,013C013F,03EC30AA
013D013C,03EB68B0,013D0140,03ECF8A6
013E013D,03EC30A6,013E0141,03EDC0AA
013F013E,03ECF8A2,013F0142,03EE88A8
0140013F,03EDC0A6,01400143,03EF50AA
01410140,03EE88A4,01410144,03F018A8
01420141,03EF50A5,01420145,03F0E0A5
01430142,03F018A4,01430146,03F1A8A8
