Timestamp data collected on 2025-06-27 18:26:40
00000000,DB1265BA
00010000,DB14D6BE
00020000,DB1747BA
00030000,DB19B8BA
00040000,DB1C29C0
00050000,DB1E9ABA
00060000,DB210BB5
00070000,DB237CBE
00080000,DB25EDB8
00090000,DB285EB2
000A0000,DB2ACFB0
000B0000,DB2D40BA
000C0000,DB2FB1B3
000D0000,DB3222BA
000E0000,DB3493B4
000F0000,DB3704B4
00100000,DB3975B4
00110000,DB3BE6B0
00120000,DB3E57B3
00130000,DB40C8B4
00140000,DB4339B2
00150000,DB45AAAE
00160000,DB481BB2
00170000,DB4A8CB2
00180000,DB4CFDAA
00190000,DB4F6EAE
001A0000,DB51DFB0
001B0000,DB5450AE
001C0000,DB56C1AA
001D0000,DB5932A6
001E0000,DB5BA3A4
001F0000,DB5E14A6
00200000,DB6085AA
00210000,DB62F6A9
00220000,DB6567A6
00230000,DB67D8AA
00240000,DB6A49A2
00250000,DB6CBAA0
00260000,DB6F2BA4
00270000,DB719CA2
00280000,DB740DA2
00290000,DB767EA4
002A0000,DB78EFA2
002B0000,DB7B60A0
002C0000,DB7DD19A
002D0000,DB8042A0
002E0000,DB82B39B
002F0000,DB8524A0
00300000,DB87959A
00310000,DB8A069E
00320000,DB8C779B
00330000,DB8EE894
00340000,DB915998
00350000,DB93CA9E
00360000,DB963B98
00370000,DB98AC98
00380000,DB9B1D9E
00390000,DB9D8E94
003A0000,DB9FFF92
003B0000,DBA27098
003C0000,DBA4E194
003D0000,DBA75293
003E0000,DBA9C394
003F0000,DBAC3494
00400000,DBAEA590
00410000,DBB1168E
00420000,DBB3878E
00430000,DBB5F88C
00440000,DBB86992
00450000,DBBADA8E
00460000,DBBD4B8C
00470000,DBBFBC8C
00480000,DBC22D8D
00490000,DBC49E85
004A0000,DBC70F8A
004B0000,DBC9808A
004C0000,DBCBF186
004D0000,DBCE628A
004E0000,DBD0D386
004F0000,DBD34482
00500000,DBD5B580
00510000,DBD82680
00520000,DBDA9782
00530000,DBDD0882
00540000,DBDF7981
00550000,DBE1EA7C
00560000,DBE45B80
00570000,DBE6CC7E
00580000,DBE93D7C
00590000,DBEBAE80
005A0000,DBEE1F80
