Timestamp data collected on 2025-06-27 18:27:33
00000000,507FBA84
00010000,50822B82
00020000,50849C85
00030000,50870D82
00040000,50897E83
00050000,508BEF84
00060000,508E6082
00070000,5090D17E
00080000,50934282
00090000,5095B382
000A0000,5098247C
000B0000,509A9582
000C0000,509D067E
000D0000,509F7777
000E0000,50A1E87C
000F0000,50A4597A
00100000,50A6CA76
00110000,50A93B7C
00120000,50ABAC7C
00130000,50AE1D76
00140000,50B08E78
00150000,50B2FF74
00160000,50B57076
00170000,50B7E176
00180000,50BA5274
00190000,50BCC372
001A0000,50BF3472
001B0000,50C1A56A
001C0000,50C41670
001D0000,50C68774
001E0000,50C8F870
001F0000,50CB6970
00200000,50CDDA70
00210000,50D04B6E
00220000,50D2BC68
00230000,50D52D6B
00240000,50D79E68
00250000,50DA0F68
00260000,50DC806E
00270000,50DEF168
00280000,50E16268
00290000,50E3D368
002A0000,50E64468
002B0000,50E8B567
002C0000,50EB2668
002D0000,50ED9768
002E0000,50F00865
002F0000,50F27965
00300000,50F4EA63
00310000,50F75B5C
00320000,50F9CC61
00330000,50FC3D5E
00340000,50FEAE63
00350000,51011F62
00360000,5103905C
00370000,5106015D
00380000,5108725C
00390000,510AE35A
003A0000,510D545A
003B0000,510FC55C
003C0000,5112365A
003D0000,5114A756
003E0000,5117185C
003F0000,51198956
00400000,511BFA54
00410000,511E6B5A
00420000,5120DC56
00430000,51234D55
00440000,5125BE56
00450000,51282F54
00460000,512AA053
00470000,512D1156
00480000,512F8252
00490000,5131F354
004A0000,51346454
004B0000,5136D551
004C0000,51394650
004D0000,513BB751
004E0000,513E284E
004F0000,51409950
00500000,51430A52
00510000,51457B4C
00520000,5147EC4E
00530000,514A5D4E
00540000,514CCE47
00550000,514F3F4C
00560000,5151B04A
00570000,5154214A
00580000,51569248
00590000,5159034A
005A0000,515B7448
005B0000,515DE543
005C0000,51605647
005D0000,5162C745
005E0000,51653846
005F0000,5167A946
00600000,516A1A43
00610000,516C8B40
00620000,516EFC41
00630000,51716D40
00640000,5173DE40
00650000,51764F42
00660000,5178C040
00670000,517B3142
00680000,517DA23E
00690000,5180133C
006A0000,5182843C
006B0000,5184F53C
006C0000,51876639
006D0000,5189D73A
006E0000,518C483C
006F0000,518EB938
00700000,51912A3A
00710000,51939B39
00720000,51960C35
00730000,51987D38
00740000,519AEE38
00750000,519D5F33
00760000,519FD038
00770000,51A24138
00780000,51A4B230
00790000,51A72336
007A0000,51A99436
007B0000,51AC0530
007C0000,51AE7630
007D0000,51B0E72E
007E0000,51B3582E
007F0000,51B5C92E
00800000,51B83A2E
00810000,51BAAB2A
00820000,51BD1C2E
00830000,51BF8D2C
00840000,51C1FE2A
00850000,51C46F2C
00860000,51C6E029
00870000,51C95126
00880000,51CBC22A
00890000,51CE3326
008A0000,51D0A424
008B0000,51D31528
008C0000,51D58626
008D0000,51D7F722
008E0000,51DA6824
008F0000,51DCD924
00900000,51DF4A24
00910000,51E1BB26
00920000,51E42C24
00930000,51E69D1E
00940000,51E90E24
00950000,51EB7F1A
00960000,51EDF01C
00970000,51F0611C
00980000,51F2D21C
00990000,51F5431C
009A0000,51F7B420
009B0000,51FA2518
009C0000,51FC9618
009D0000,51FF071C
009E0000,52017818
009F0000,5203E918
00A00000,52065A1A
00A10000,5208CB18
00A20000,520B3C16
00A30000,520DAD14
00A40000,52101E17
00A50000,52128F11
00A60000,52150014
00A70000,52177114
00A80000,5219E211
00A90000,521C530F
00AA0000,521EC411
00AB0000,5221350C
00AC0000,5223A612
00AD0000,52261716
00AE0000,5228880C
00AF0000,522AF90E
00B00000,522D6A0B
00B10000,522FDB08
00B20000,52324C0C
00B30000,5234BD08
00B40000,52372E08
00B50000,52399F0A
00B60000,523C1006
00B70000,523E8106
00B80000,5240F208
00B90000,52436302
00BA0000,5245D402
00BB0000,52484502
00BC0000,524AB602
00BD0000,524D2702
00BE0000,524F9803
00BF0000,52520901
00C00000,52547A01
00C10000,5256EB02
00C20000,52595DC0
00C30000,525BCD02
00C40000,525E3E01
00C50000,5260B0C0
00C60000,526321C0
00C70000,52659101
00C80000,526803C0
00C90000,526A74C0
00CA0000,526CE5C0
00CB0000,526F56C0
00CC0000,5271C7C0
00CD0000,527438C0
00CE0000,5276A9C0
00CF0000,52791AC0
00D00000,527B8BC0
00D10000,527DFCC0
00D20000,52806DC0
00D30000,5282DEC0
00D40000,52854FBE
00D50000,5287C0BE
00D60000,528A31C0
00D70000,528CA2BC
00D80000,528F13BE
00D90000,529184BE
00DA0000,5293F5BE
00DB0000,529666BA
00DC0000,5298D7B8
00DD0000,529B48BA
00DE0000,529DB9BA
00DF0000,52A02AB9
00E00000,52A29BB6
00E10000,52A50CBA
00E20000,52A77DB5
00E30000,52A9EEB3
00E40000,52AC5FB6
00E50000,52AED0B6
00E60000,52B141B2
00E70000,52B3B2B4
00E80000,52B623B2
00E90000,52B894AC
00EA0000,52BB05AC
00EB0000,52BD76AE
00EC0000,52BFE7AC
00ED0000,52C258B4
00EE0000,52C4C9AC
00EF0000,52C73AAC
00F00000,52C9ABAD
00F10000,52CC1CAA
00F20000,52CE8DAB
00F30000,52D0FEAA
00F40000,52D36FA8
00F50000,52D5E0AA
00F60000,52D851AC
00F70000,52DAC2AA
00F80000,52DD33A5
00F90000,52DFA4A6
00FA0000,52E215A8
00FB0000,52E486A0
00FC0000,52E6F7A4
00FD0000,52E968A3
00FE0000,52EBD9A0
00FF0000,52EE4AA2
01000000,52F0BB9F
01010000,52F32C9E
01020000,52F59DA0
01030000,52F80EA2
01040000,52FA7F9C
01050000,52FCF09A
01060000,52FF6198
01070000,5301D298
01080000,53044399
01090000,5306B498
010A0000,53092598
010B0000,530B9697
010C0000,530E079A
010D0000,53107892
010E0000,5312E998
010F0000,53155A96
01100000,5317CB8E
01110000,531A3C94
01120000,531CAD94
01130000,531F1E92
01140000,53218F94
01150000,53240092
01160000,5326718C
01170000,5328E28E
01180000,532B538C
01190000,532DC48E
011A0000,53303592
011B0000,5332A68E
011C0000,5335178A
011D0000,5337888B
011E0000,5339F98C
011F0000,533C6A8B
01200000,533EDB8C
01210000,53414C8A
01220000,5343BD86
01230000,53462E8A
01240000,53489F84
01250000,534B1084
01260000,534D8186
01270000,534FF282
01280000,53526384
01290000,5354D484
012A0000,53574582
012B0000,5359B682
012C0000,535C2783
012D0000,535E9882
012E0000,53610982
012F0000,53637A82
01300000,5365EB7C
01310000,53685C7C
01320000,536ACD7D
01330000,536D3E7A
01340000,536FAF7C
01350000,5372207C
01360000,5374917A
01370000,53770276
01380000,5379737A
01390000,537BE476
013A0000,537E5576
013B0000,5380C677
013C0000,53833777
013D0000,5385A876
013E0000,53881977
013F0000,538A8A72
01400000,538CFB77
01410000,538F6C74
01420000,5391DD6F
01430000,53944E74
01440000,5396BF72
01450000,5399306F
01460000,539BA170
01470000,539E1270
01480000,53A0836D
01490000,53A2F46F
014A0000,53A5656E
014B0000,53A7D66E
014C0000,53AA476E
014D0000,53ACB86A
014E0000,53AF296C
014F0000,53B19A6B
01500000,53B40B6C
01510000,53B67C6A
01520000,53B8ED6A
01530000,53BB5E68
01540000,53BDCF68
01550000,53C04067
01560000,53C2B166
01570000,53C52262
01580000,53C79363
01590000,53CA0467
015A0000,53CC755D
015B0000,53CEE65E
015C0000,53D1575E
015D0000,53D3C85C
015E0000,53D6395E
015F0000,53D8AA61
01600000,53DB1B5A
01610000,53DD8C5C
01620000,53DFFD5C
01630000,53E26E5A
01640000,53E4DF54
01650000,53E7505B
01660000,53E9C156
01670000,53EC325A
01680000,53EEA359
01690000,53F11456
016A0000,53F38556
016B0000,53F5F656
016C0000,53F86750
016D0000,53FAD854
016E0000,53FD4954
016F0000,53FFBA54
01700000,54022B52
01710000,54049C54
01720000,54070D50
01730000,54097E54
01740000,540BEF52
01750000,540E604C
01760000,5410D14F
01770000,5413424C
01780000,5415B34C
01790000,5418244E
017A0000,541A954E
017B0000,541D0648
017C0000,541F774E
017D0000,5421E84C
017E0000,54245946
017F0000,5426CA46
01800000,54293B46
01810000,542BAC42
01820000,542E1D46
01830000,54308E48
01840000,5432FF42
01850000,54357046
01860000,5437E144
01870000,543A5240
01880000,543CC342
01890000,543F3443
018A0000,5441A53C
018B0000,54441640
018C0000,54468740
018D0000,5448F83A
018E0000,544B693E
018F0000,544DDA3B
01900000,54504B3C
01910000,5452BC3B
01920000,54552D3A
01930000,54579E38
01940000,545A0F3E
01950000,545C803A
01960000,545EF138
01970000,54616238
01980000,5463D338
01990000,54664436
019A0000,5468B538
019B0000,546B2638
019C0000,546D9730
019D0000,54700836
019E0000,54727930
019F0000,5474EA32
01A00000,54775B38
01A10000,5479CC36
01A20000,547C3D2C
01A30000,547EAE32
01A40000,54811F2E
01A50000,54839026
01A60000,5486012E
01A70000,5488722A
01A80000,548AE328
01A90000,548D542C
01AA0000,548FC526
01AB0000,54923626
01AC0000,5494A727
01AD0000,54971825
01AE0000,54998924
01AF0000,549BFA26
01B00000,549E6B24
01B10000,54A0DC24
01B20000,54A34D24
01B30000,54A5BE24
01B40000,54A82F21
01B50000,54AAA01C
01B60000,54AD111C
01B70000,54AF821E
01B80000,54B1F322
01B90000,54B4641C
01BA0000,54B6D51A
01BB0000,54B9461C
01BC0000,54BBB71A
01BD0000,54BE2818
01BE0000,54C0991B
01BF0000,54C30A18
01C00000,54C57B16
01C10000,54C7EC1A
01C20000,54CA5D14
01C30000,54CCCE16
01C40000,54CF3F18
01C50000,54D1B014
01C60000,54D42112
01C70000,54D69218
01C80000,54D9030F
01C90000,54DB7412
01CA0000,54DDE514
01CB0000,54E05612
01CC0000,54E2C70E
01CD0000,54E5380D
01CE0000,54E7A90C
01CF0000,54EA1A0E
01D00000,54EC8B0E
01D10000,54EEFC10
01D20000,54F16D0A
01D30000,54F3DE08
01D40000,54F64F06
01D50000,54F8C00A
01D60000,54FB310B
01D70000,54FDA203
01D80000,55001303
01D90000,55028409
01DA0000,5504F503
01DB0000,55076602
01DC0000,5509D706
01DD0000,550C4803
01DE0000,550EB903
01DF0000,55112A02
01E00000,55139B02
01E10000,55160C02
01E20000,55187EC0
01E30000,551AEFC0
01E40000,551D5F01
01E50000,551FD001
01E60000,552242C0
01E70000,5524B201
01E80000,552724C0
01E90000,552995C0
01EA0000,552C06C0
01EB0000,552E77C0
01EC0000,5530E8C0
01ED0000,553359C0
01EE0000,5535CAC0
01EF0000,55383BC0
01F00000,553AACC0
01F10000,553D1DC0
01F20000,553F8EC0
01F30000,5541FFC0
01F40000,554470C0
01F50000,5546E1C0
01F60000,554952C0
01F70000,554BC3C0
01F80000,554E34C0
01F90000,5550A5C0
01FA0000,555316BE
01FB0000,555587BE
01FC0000,5557F8BE
01FD0000,555A69BE
01FE0000,555CDABC
01FF0000,555F4BBA
02000000,5561BCBA
02010000,55642DBA
02020000,55669EBA
02030000,55690FB8
02040000,556B80AF
02050000,556DF1B6
02060000,557062B6
02070000,5572D3B4
02080000,557544B6
02090000,5577B5B8
020A0000,557A26B4
020B0000,557C97B2
020C0000,557F08B4
020D0000,558179B0
020E0000,5583EAB2
020F0000,55865BB2
02100000,5588CCAE
02110000,558B3DB2
02120000,558DAEB0
02130000,55901FAE
02140000,559290AF
02150000,559501AC
02160000,559772AA
02170000,5599E3AD
02180000,559C54AA
02190000,559EC5A6
021A0000,55A136AC
021B0000,55A3A7AC
021C0000,55A618A6
021D0000,55A889AC
021E0000,55AAFAA8
021F0000,55AD6BA2
02200000,55AFDCA6
02210000,55B24DA2
02220000,55B4BEA8
02230000,55B72FA6
02240000,55B9A0A5
02250000,55BC11A2
02260000,55BE829C
02270000,55C0F399
02280000,55C3649E
02290000,55C5D59E
022A0000,55C846A2
022B0000,55CAB7A2
022C0000,55CD2896
022D0000,55CF9998
022E0000,55D20A9E
022F0000,55D47BA4
02300000,55D6EC9A
02310000,55D95D9C
02320000,55DBCE96
02330000,55DE3F9D
02340000,55E0B08E
02350000,55E32198
02360000,55E59294
02370000,55E80394
02380000,55EA749A
02390000,55ECE594
023A0000,55EF5696
023B0000,55F1C794
023C0000,55F43892
023D0000,55F6A98E
023E0000,55F91A8E
023F0000,55FB8B8C
02400000,55FDFC92
02410000,56006D8E
02420000,5602DE8C
02430000,56054F8E
02440000,5607C08A
02450000,560A318D
02460000,560CA286
02470000,560F138E
02480000,5611848C
02490000,5613F586
024A0000,5616668B
024B0000,5618D78C
