Timestamp data collected on 2025-06-26 18:32:20
00000000,606A3B16
00010000,606B0314
00020000,606BCB15
00030000,606C9314
00040000,606D5B12
00050000,606E2313
00060000,606EEB14
00070000,606FB314
00080000,60707B14
00090000,60714314
000A0000,60720B12
000B0000,6072D313
000C0000,60739B12
000D0000,60746314
000E0000,60752B0E
000F0000,6075F314
00100000,6076BB12
00110000,6077830D
00120000,60784B12
00130000,60791311
00140000,6079DB12
00150000,607AA310
00160000,607B6B12
00170000,607C3312
00180000,607CFB12
00190000,607DC311
001A0000,607E8B0E
001B0000,607F5310
001C0000,60801B10
001D0000,6080E312
001E0000,6081AB10
001F0000,60827310
00200000,60833B0E
00210000,60840314
00220000,6084CB0E
00230000,6085930E
00240000,60865B0E
00250000,6087230B
00260000,6087EB0C
00270000,6088B30E
00280000,60897B0C
00290000,608A430C
002A0000,608B0B09
002B0000,608BD308
002C0000,608C9B0A
002D0000,608D6308
002E0000,608E2B0A
002F0000,608EF30A
00300000,608FBB0A
00310000,6090830A
00320000,60914B0C
00330000,6092130A
00340000,6092DB08
00350000,6093A30A
00360000,60946B0A
00370000,6095330A
00380000,6095FB0A
00390000,6096C30B
003A0000,60978B07
003B0000,60985306
003C0000,60991B08
003D0000,6099E30A
003E0000,609AAB09
003F0000,609B7308
00400000,609C3B07
00410000,609D0308
00420000,609DCB04
00430000,609E9307
00440000,609F5B06
00450000,60A02306
00460000,60A0EB04
00470000,60A1B306
00480000,60A27B04
00490000,60A34303
004A0000,60A40B04
004B0000,60A4D304
004C0000,60A59B06
004D0000,60A66303
004E0000,60A72B03
004F0000,60A7F303
00500000,60A8BB03
00510000,60A98303
00520000,60AA4B03
00530000,60AB1303
00540000,60ABDB03
00550000,60ACA303
00560000,60AD6B02
00570000,60AE3302
00580000,60AEFB03
00590000,60AFC303
005A0000,60B08B03
005B0000,60B15302
005C0000,60B21B02
005D0000,60B2E4C0
005E0000,60B3AB01
005F0000,60B47302
00600000,60B53B03
00610000,60B60302
00620000,60B6CB01
00630000,60B79301
00640000,60B85CC0
00650000,60B92301
00660000,60B9EB02
00670000,60BAB301
00680000,60BB7B01
00690000,60BC44C0
006A0000,60BD0B01
006B0000,60BDD4C0
006C0000,60BE9CC0
006D0000,60BF6301
006E0000,60C02B02
006F0000,60C0F4C0
00700000,60C1BCC0
00710000,60C284C0
00720000,60C34CC0
00730000,60C414C0
00740000,60C4DB01
00750000,60C5A301
00760000,60C66B02
00770000,60C734C0
00780000,60C7FCC0
00790000,60C8C4C0
007A0000,60C98CC0
007B0000,60CA54C0
007C0000,60CB1CC0
007D0000,60CBE4C0
007E0000,60CCACC0
007F0000,60CD74C0
00800000,60CE3CC0
00810000,60CF04C0
00820000,60CFCCC0
00830000,60D094C0
00840000,60D15CC0
00850000,60D224C0
00860000,60D2ECC0
00870000,60D3B4C0
00880000,60D47CC0
00890000,60D544C0
008A0000,60D60CC0
008B0000,60D6D4C0
008C0000,60D79CC0
008D0000,60D864C0
008E0000,60D92CBF
008F0000,60D9F4C0
00900000,60DABCC0
00910000,60DB84C0
00920000,60DC4CC0
00930000,60DD14C0
00940000,60DDDCC0
00950000,60DEA4C0
00960000,60DF6CC0
00970000,60E034C0
00980000,60E0FCC0
00990000,60E1C4C0
009A0000,60E28CC0
009B0000,60E354BE
009C0000,60E41CBE
009D0000,60E4E4C0
009E0000,60E5ACC0
009F0000,60E674C0
00A00000,60E73CBE
00A10000,60E804C0
00A20000,60E8CCBE
00A30000,60E994BC
00A40000,60EA5CC0
00A50000,60EB24C0
00A60000,60EBECC0
00A70000,60ECB4B8
00A80000,60ED7CC0
00A90000,60EE44BB
00AA0000,60EF0CBA
00AB0000,60EFD4C0
00AC0000,60F09CBD
00AD0000,60F164BC
00AE0000,60F22CB8
00AF0000,60F2F4BE
00B00000,60F3BCB8
00B10000,60F484BA
00B20000,60F54CBC
00B30000,60F614BE
00B40000,60F6DCBC
00B50000,60F7A4B8
00B60000,60F86CBA
00B70000,60F934B8
00B80000,60F9FCBA
00B90000,60FAC4BC
00BA0000,60FB8CB8
00BB0000,60FC54B9
00BC0000,60FD1CB6
00BD0000,60FDE4B8
00BE0000,60FEACB8
00BF0000,60FF74B6
00C00000,61003CB8
00C10000,610104B0
00C20000,6101CCB8
00C30000,610294B4
00C40000,61035CB6
00C50000,610424B2
00C60000,6104ECB6
00C70000,6105B4B8
00C80000,61067CB8
00C90000,610744B4
00CA0000,61080CB2
00CB0000,6108D4B2
00CC0000,61099CB3
00CD0000,610A64B4
00CE0000,610B2CB4
00CF0000,610BF4B4
00D00000,610CBCB1
00D10000,610D84AD
00D20000,610E4CB4
00D30000,610F14B6
00D40000,610FDCB2
00D50000,6110A4B3
00D60000,61116CB3
00D70000,611234AF
00D80000,6112FCAD
00D90000,6113C4B0
00DA0000,61148CB4
00DB0000,611554AA
00DC0000,61161CB1
00DD0000,6116E4B4
00DE0000,6117ACAF
00DF0000,611874AA
00E00000,61193CAF
00E10000,611A04AF
00E20000,611ACCAE
00E30000,611B94AE
00E40000,611C5CAF
00E50000,611D24AC
00E60000,611DECAC
00E70000,611EB4AC
00E80000,611F7CAC
00E90000,612044AC
00EA0000,61210CAC
00EB0000,6121D4AC
00EC0000,61229CA8
00ED0000,612364A8
00EE0000,61242CA8
00EF0000,6124F4AA
00F00000,6125BCAA
00F10000,612684AC
00F20000,61274CAC
00F30000,612814A8
00F40000,6128DCA8
00F50000,6129A4AA
00F60000,612A6CAA
00F70000,612B34A9
00F80000,612BFCAA
00F90000,612CC4AA
00FA0000,612D8CA6
00FB0000,612E54A8
00FC0000,612F1CA8
00FD0000,612FE4A8
00FE0000,6130ACA6
00FF0000,613174A8
01000000,61323CA8
01010000,613304A2
01020000,6133CCA6
01030000,613494A2
01040000,61355CAA
01050000,613624A2
01060000,6136ECA0
01070000,6137B4A6
01080000,61387CA0
01090000,613944A2
010A0000,613A0CA4
010B0000,613AD4A8
010C0000,613B9CA3
010D0000,613C64A1
010E0000,613D2CA2
010F0000,613DF49C
01100000,613EBCA0
01110000,613F84A5
01120000,61404CA5
01130000,614114A0
01140000,6141DCA0
01150000,6142A4A0
01160000,61436C9E
01170000,6144349E
01180000,6144FCA0
01190000,6145C4A2
011A0000,61468C9E
011B0000,614754A0
011C0000,61481CA0
011D0000,6148E49A
011E0000,6149AC9E
011F0000,614A74A0
01200000,614B3C9F
01210000,614C049A
01220000,614CCC9A
01230000,614D949C
01240000,614E5C9A
01250000,614F249C
01260000,614FECA2
01270000,6150B4A0
01280000,61517C9A
01290000,6152449A
012A0000,61530C9C
012B0000,6153D498
012C0000,61549C9A
012D0000,6155649A
012E0000,61562C9C
012F0000,6156F498
01300000,6157BC9A
01310000,61588498
01320000,61594C98
01330000,615A149A
01340000,615ADC9C
01350000,615BA498
01360000,615C6C96
01370000,615D3494
01380000,615DFC96
01390000,615EC494
013A0000,615F8C98
013B0000,61605499
013C0000,61611C9E
013D0000,6161E494
013E0000,6162AC96
013F0000,6163748E
01400000,61643C94
01410000,61650494
01420000,6165CC96
01430000,61669496
01440000,61675C94
01450000,61682496
01460000,6168EC96
01470000,6169B494
01480000,616A7C94
01490000,616B4496
014A0000,616C0C96
014B0000,616CD494
014C0000,616D9C92
014D0000,616E6494
014E0000,616F2C92
014F0000,616FF494
01500000,6170BC92
01510000,61718492
01520000,61724C92
01530000,6173148C
01540000,6173DC92
01550000,6174A48E
01560000,61756C92
01570000,61763492
01580000,6176FC8E
01590000,6177C494
015A0000,61788C8C
015B0000,6179548E
015C0000,617A1C8C
015D0000,617AE48E
015E0000,617BAC8C
015F0000,617C748E
01600000,617D3C86
01610000,617E048A
01620000,617ECC8E
01630000,617F948C
01640000,61805C8E
01650000,6181248E
01660000,6181EC8C
01670000,6182B48C
01680000,61837C8A
01690000,6184448C
016A0000,61850C8C
016B0000,6185D48C
016C0000,61869C8C
016D0000,6187648C
016E0000,61882C8A
016F0000,6188F486
01700000,6189BC8D
01710000,618A8486
01720000,618B4C86
01730000,618C148C
01740000,618CDC8A
01750000,618DA489
01760000,618E6C86
01770000,618F348C
01780000,618FFC8A
01790000,6190C48A
017A0000,61918C8C
017B0000,6192548C
017C0000,61931C84
017D0000,6193E486
017E0000,6194AC8A
017F0000,6195748A
01800000,61963C88
01810000,6197048A
01820000,6197CC84
01830000,61989484
01840000,61995C84
01850000,619A2486
01860000,619AEC84
01870000,619BB486
01880000,619C7C84
01890000,619D4484
018A0000,619E0C83
018B0000,619ED47C
018C0000,619F9C84
018D0000,61A06484
018E0000,61A12C84
018F0000,61A1F484
01900000,61A2BC82
01910000,61A38484
01920000,61A44C82
01930000,61A51484
01940000,61A5DC82
01950000,61A6A482
01960000,61A76C84
01970000,61A83482
01980000,61A8FC82
01990000,61A9C482
019A0000,61AA8C84
019B0000,61AB5482
