Timestamp data collected on 2025-06-28 09:55:13
00000000,D447054B
00010000,D449764C
00020000,D44BE74A
00030000,D44E5849
00040000,D450C94A
00050000,D4533A46
00060000,D455AB4A
00070000,D4581C48
00080000,D45A8D48
00090000,D45CFE48
000A0000,D45F6F42
000B0000,D461E046
000C0000,D4645145
000D0000,D466C240
000E0000,D4693343
000F0000,D46BA446
00100000,D46E1540
00110000,D4708640
00120000,D472F740
00130000,D4756840
00140000,D477D940
00150000,D47A4A3C
00160000,D47CBB3E
00170000,D47F2C3C
00180000,D4819D3C
00190000,D4840E40
001A0000,D4867F3B
001B0000,D488F03C
001C0000,D48B613C
001D0000,D48DD230
001E0000,D490433A
001F0000,D492B437
00200000,D495253A
00210000,D4979638
00220000,D49A073A
00230000,D49C7838
00240000,D49EE938
00250000,D4A15A3A
00260000,D4A3CB35
00270000,D4A63C33
00280000,D4A8AD32
00290000,D4AB1E32
002A0000,D4AD8F30
002B0000,D4B00030
002C0000,D4B27130
002D0000,D4B4E230
002E0000,D4B75330
002F0000,D4B9C435
00300000,D4BC3530
00310000,D4BEA62E
00320000,D4C1172A
00330000,D4C38825
00340000,D4C5F92A
00350000,D4C86A2C
00360000,D4CADB2E
00370000,D4CD4C28
00380000,D4CFBD2E
00390000,D4D22E2B
003A0000,D4D49F22
003B0000,D4D71026
003C0000,D4D98126
003D0000,D4DBF226
003E0000,D4DE632A
003F0000,D4E0D421
00400000,D4E34524
00410000,D4E5B624
00420000,D4E8271E
00430000,D4EA981F
00440000,D4ED0926
00450000,D4EF7A1E
00460000,D4F1EB22
00470000,D4F45C1E
00480000,D4F6CD17
00490000,D4F93E1B
004A0000,D4FBAF18
004B0000,D4FE2021
004C0000,D5009118
004D0000,D503021F
004E0000,D5057318
004F0000,D507E41B
00500000,D50A551A
00510000,D50CC618
00520000,D50F371B
00530000,D511A812
00540000,D5141914
00550000,D5168A0A
00560000,D518FB10
00570000,D51B6C14
00580000,D51DDD0A
00590000,D5204E16
005A0000,D522BF10
005B0000,D5253010
005C0000,D527A114
005D0000,D52A1210
005E0000,D52C830C
005F0000,D52EF40C
00600000,D531650A
00610000,D533D60D
00620000,D5364704
00630000,D538B80A
00640000,D53B290A
00650000,D53D9A08
00660000,D5400B0B
00670000,D5427C04
00680000,D544ED06
00690000,D5475E03
006A0000,D549D0C0
006B0000,D54C4003
006C0000,D54EB101
006D0000,D5512202
006E0000,D5539301
006F0000,D5560403
00700000,D55876C0
00710000,D55AE601
00720000,D55D58C0
00730000,D55FC802
00740000,D5623903
00750000,D564AA01
00760000,D5671B01
00770000,D5698DC0
00780000,D56BFD01
00790000,D56E6FC0
007A0000,D570E0C0
007B0000,D57351C0
007C0000,D575C2C0
007D0000,D57833C0
007E0000,D57AA4BF
007F0000,D57D15BF
00800000,D57F86C0
00810000,D581F7BE
00820000,D58468C0
00830000,D586D9BE
00840000,D5894ABE
00850000,D58BBBB8
00860000,D58E2CBC
00870000,D5909DBA
00880000,D5930EB3
00890000,D5957FBA
008A0000,D597F0B4
008B0000,D59A61B5
008C0000,D59CD2B4
008D0000,D59F43B8
008E0000,D5A1B4B4
008F0000,D5A425B5
00900000,D5A696B4
00910000,D5A907B1
00920000,D5AB78B5
00930000,D5ADE9B0
00940000,D5B05AAE
00950000,D5B2CBB2
00960000,D5B53CB2
00970000,D5B7ADB0
00980000,D5BA1EA7
00990000,D5BC8FA0
009A0000,D5BF00AA
009B0000,D5C171A5
009C0000,D5C3E2A6
009D0000,D5C653AA
009E0000,D5C8C4A3
009F0000,D5CB35A6
00A00000,D5CDA6A3
00A10000,D5D0179F
00A20000,D5D288A2
00A30000,D5D4F9A0
00A40000,D5D76AA3
00A50000,D5D9DBA0
00A60000,D5DC4CA0
00A70000,D5DEBDA0
00A80000,D5E12E9B
00A90000,D5E39F99
00AA0000,D5E6109D
