Timestamp data collected on 2025-06-28 09:46:26
00000000,91276024
00010000,9129D124
00020000,912C4224
00030000,912EB31A
00040000,91312424
00050000,9133951E
00060000,91360620
00070000,91387724
00080000,913AE81C
00090000,913D591F
000A0000,913FCA21
000B0000,91423B1A
000C0000,9144AC18
000D0000,91471D1A
000E0000,91498E18
000F0000,914BFF1C
00100000,914E7018
00110000,9150E118
00120000,91535218
00130000,9155C318
00140000,91583416
00150000,915AA51A
00160000,915D1616
00170000,915F8716
00180000,9161F815
00190000,91646914
001A0000,9166DA14
001B0000,91694B14
001C0000,916BBC12
001D0000,916E2D14
001E0000,91709E12
001F0000,91730F0E
00200000,91758014
00210000,9177F10C
00220000,917A620E
00230000,917CD312
00240000,917F440C
00250000,9181B50D
00260000,9184260F
00270000,9186970C
00280000,9189080C
00290000,918B790A
002A0000,918DEA0A
002B0000,91905B0C
002C0000,9192CC06
002D0000,91953D04
002E0000,9197AE0A
002F0000,919A1F06
00300000,919C9003
00310000,919F0104
00320000,91A17202
00330000,91A3E302
00340000,91A65403
00350000,91A8C501
00360000,91AB3602
00370000,91ADA703
00380000,91B01801
00390000,91B28902
003A0000,91B4FA01
003B0000,91B76B01
003C0000,91B9DDC0
003D0000,91BC4EC0
003E0000,91BEBFC0
003F0000,91C130C0
00400000,91C3A1C0
00410000,91C612C0
00420000,91C883C0
00430000,91CAF4C0
00440000,91CD65C0
00450000,91CFD6C0
00460000,91D247C0
00470000,91D4B8C0
00480000,91D729C0
00490000,91D99ABC
004A0000,91DC0BBA
004B0000,91DE7CBE
004C0000,91E0EDBE
004D0000,91E35EC0
004E0000,91E5CFBA
004F0000,91E840BA
00500000,91EAB1BA
00510000,91ED22B6
00520000,91EF93BA
00530000,91F204B8
00540000,91F475B6
00550000,91F6E6B8
00560000,91F957B6
00570000,91FBC8B6
00580000,91FE39B6
00590000,9200AAB0
005A0000,92031BB6
005B0000,92058CB4
005C0000,9207FDB2
005D0000,920A6EAC
005E0000,920CDFB0
005F0000,920F50AC
00600000,9211C1B0
00610000,921432AF
00620000,9216A3AA
00630000,921914AF
00640000,921B85AC
00650000,921DF6A8
00660000,922067AA
00670000,9222D8A6
00680000,922549A8
00690000,9227BAA6
006A0000,922A2BA6
006B0000,922C9CA6
006C0000,922F0DA0
006D0000,92317EA1
006E0000,9233EFA3
006F0000,923660A2
00700000,9238D19C
00710000,923B42A2
00720000,923DB39A
00730000,92402499
00740000,924295A0
00750000,9245069C
00760000,9247779E
00770000,9249E89E
00780000,924C5999
00790000,924ECA9A
007A0000,92513B96
007B0000,9253AC94
007C0000,92561D98
007D0000,92588E98
007E0000,925AFF94
007F0000,925D7098
00800000,925FE192
00810000,9262528E
00820000,9264C392
00830000,92673492
00840000,9269A591
00850000,926C1694
00860000,926E8792
00870000,9270F88D
00880000,9273698E
00890000,9275DA8C
008A0000,92784B8E
008B0000,927ABC8C
008C0000,927D2D8C
008D0000,927F9E8C
008E0000,92820F8A
008F0000,9284808C
00900000,9286F18A
00910000,92896285
00920000,928BD38A
00930000,928E4486
00940000,9290B584
00950000,9293268A
00960000,92959784
00970000,92980882
00980000,929A7982
00990000,929CEA84
009A0000,929F5B7E
009B0000,92A1CC86
009C0000,92A43D7E
009D0000,92A6AE7E
009E0000,92A91F76
009F0000,92AB907A
00A00000,92AE017C
00A10000,92B0727C
00A20000,92B2E379
00A30000,92B5547B
00A40000,92B7C57A
00A50000,92BA3672
00A60000,92BCA776
00A70000,92BF187A
00A80000,92C18978
00A90000,92C3FA7A
00AA0000,92C66B76
00AB0000,92C8DC74
00AC0000,92CB4D72
00AD0000,92CDBE71
00AE0000,92D02F72
00AF0000,92D2A076
00B00000,92D5116F
00B10000,92D78272
00B20000,92D9F370
00B30000,92DC6468
00B40000,92DED570
00B50000,92E1466E
00B60000,92E3B76E
00B70000,92E62870
00B80000,92E8996E
00B90000,92EB0A68
00BA0000,92ED7B68
00BB0000,92EFEC69
00BC0000,92F25D6A
00BD0000,92F4CE6A
00BE0000,92F73F68
00BF0000,92F9B068
00C00000,92FC2166
00C10000,92FE9261
00C20000,93010366
00C30000,93037466
00C40000,9305E566
00C50000,93085666
00C60000,930AC75E
00C70000,930D3865
00C80000,930FA95E
00C90000,93121A5E
00CA0000,93148B5D
00CB0000,9316FC60
00CC0000,93196D5C
00CD0000,931BDE62
00CE0000,931E4F5B
00CF0000,9320C059
00D00000,9323315C
00D10000,9325A25A
00D20000,93281354
00D30000,932A845C
00D40000,932CF559
00D50000,932F6658
00D60000,9331D754
00D70000,93344856
00D80000,9336B954
00D90000,93392A55
00DA0000,933B9B54
00DB0000,933E0C54
00DC0000,93407D54
00DD0000,9342EE4E
00DE0000,93455F52
00DF0000,9347D050
00E00000,934A4151
00E10000,934CB252
00E20000,934F234E
00E30000,9351944F
00E40000,93540558
00E50000,9356764F
00E60000,9358E74E
00E70000,935B584A
00E80000,935DC94E
00E90000,93603A4D
00EA0000,9362AB4E
00EB0000,93651C4A
00EC0000,93678D4E
00ED0000,9369FE46
00EE0000,936C6F46
00EF0000,936EE04B
00F00000,93715146
00F10000,9373C249
00F20000,93763347
00F30000,9378A446
00F40000,937B1542
00F50000,937D8642
00F60000,937FF740
00F70000,93826842
00F80000,9384D93E
00F90000,93874A3E
00FA0000,9389BB40
00FB0000,938C2C3E
00FC0000,938E9D39
00FD0000,93910E40
00FE0000,93937F3A
00FF0000,9395F03E
01000000,9398613C
01010000,939AD23C
01020000,939D433B
01030000,939FB439
01040000,93A22538
01050000,93A4963C
01060000,93A70738
01070000,93A97838
01080000,93ABE939
01090000,93AE5A38
010A0000,93B0CB35
010B0000,93B33C38
010C0000,93B5AD36
010D0000,93B81E38
010E0000,93BA8F38
010F0000,93BD0032
01100000,93BF7133
01110000,93C1E22E
01120000,93C45330
01130000,93C6C42E
01140000,93C93530
01150000,93CBA62E
01160000,93CE1730
01170000,93D0882E
01180000,93D2F92E
01190000,93D56A2C
011A0000,93D7DB28
011B0000,93DA4C2C
011C0000,93DCBD2D
011D0000,93DF2E28
011E0000,93E19F28
011F0000,93E4102A
01200000,93E68126
01210000,93E8F226
01220000,93EB6324
01230000,93EDD424
01240000,93F04526
01250000,93F2B624
01260000,93F52724
01270000,93F79824
01280000,93FA0921
01290000,93FC7A24
012A0000,93FEEB24
012B0000,94015C1C
012C0000,9403CD1C
012D0000,94063E24
012E0000,9408AF1C
012F0000,940B201E
01300000,940D911B
01310000,9410021C
01320000,9412731C
01330000,9414E418
01340000,9417551A
01350000,9419C618
01360000,941C3716
01370000,941EA817
01380000,94211918
01390000,94238A16
013A0000,9425FB18
013B0000,94286C14
013C0000,942ADD12
013D0000,942D4E15
013E0000,942FBF14
013F0000,94323014
01400000,9434A118
01410000,94371214
01420000,94398314
01430000,943BF416
01440000,943E650B
01450000,9440D60C
01460000,9443470E
01470000,9445B80B
01480000,94482914
01490000,944A9A0E
014A0000,944D0B08
014B0000,944F7C0E
014C0000,9451ED04
014D0000,94545E0A
014E0000,9456CF0C
014F0000,94594003
01500000,945BB102
01510000,945E220A
01520000,94609303
01530000,94630401
01540000,94657503
01550000,9467E602
01560000,946A5703
01570000,946CC802
01580000,946F3901
01590000,9471AA01
015A0000,94741B01
015B0000,94768DC0
015C0000,9478FD02
015D0000,947B6FC0
015E0000,947DE0C0
015F0000,94805001
01600000,9482C2C0
01610000,948533C0
01620000,9487A4C0
01630000,948A15C0
01640000,948C86C0
01650000,948EF7C0
01660000,949168C0
01670000,9493D9C0
01680000,94964AC0
01690000,9498BBC0
016A0000,949B2CC0
016B0000,949D9DBD
016C0000,94A00EC0
016D0000,94A27FC0
016E0000,94A4F0BC
016F0000,94A761BE
01700000,94A9D2C0
01710000,94AC43BA
01720000,94AEB4BE
01730000,94B125B8
01740000,94B396B6
01750000,94B607BA
01760000,94B878B6
01770000,94BAE9B6
01780000,94BD5ABA
01790000,94BFCBB4
017A0000,94C23CB6
017B0000,94C4ADB4
017C0000,94C71EB4
017D0000,94C98FB3
017E0000,94CC00B6
017F0000,94CE71B5
01800000,94D0E2B5
01810000,94D353B4
01820000,94D5C4AC
01830000,94D835AD
01840000,94DAA6B4
01850000,94DD17AC
01860000,94DF88B4
01870000,94E1F9AC
01880000,94E46AAE
01890000,94E6DBAE
018A0000,94E94CAC
018B0000,94EBBDAD
018C0000,94EE2EAD
018D0000,94F09FAA
018E0000,94F310AC
018F0000,94F581A6
01900000,94F7F2A6
01910000,94FA63AA
01920000,94FCD4A6
01930000,94FF45A6
01940000,9501B6A6
01950000,950427A2
01960000,950698A2
01970000,950909A0
01980000,950B7AA0
01990000,950DEBA2
019A0000,95105CA2
019B0000,9512CDA0
019C0000,95153EA3
019D0000,9517AF9E
019E0000,951A2098
019F0000,951C91A0
01A00000,951F0298
01A10000,9521739D
01A20000,9523E49A
01A30000,95265598
01A40000,9528C699
01A50000,952B379C
01A60000,952DA896
01A70000,95301997
01A80000,95328A94
01A90000,9534FB92
01AA0000,95376C94
01AB0000,9539DD94
01AC0000,953C4E92
01AD0000,953EBF98
01AE0000,95413092
01AF0000,9543A192
01B00000,9546128E
01B10000,9548838C
01B20000,954AF48E
01B30000,954D658C
01B40000,954FD68C
01B50000,9552478E
01B60000,9554B88C
01B70000,9557298C
01B80000,95599A8A
01B90000,955C0B8B
01BA0000,955E7C8C
01BB0000,9560ED86
01BC0000,95635E8A
01BD0000,9565CF88
01BE0000,9568408A
01BF0000,956AB187
01C00000,956D2288
01C10000,956F9386
01C20000,95720483
01C30000,95747584
01C40000,9576E684
01C50000,9579577E
01C60000,957BC884
01C70000,957E3984
01C80000,9580AA7E
01C90000,95831B82
01CA0000,95858C7C
01CB0000,9587FD7C
01CC0000,958A6E83
01CD0000,958CDF7C
01CE0000,958F507E
01CF0000,9591C17E
01D00000,9594327A
01D10000,9596A37E
01D20000,9599147C
01D30000,959B857A
01D40000,959DF67B
01D50000,95A0677C
01D60000,95A2D878
01D70000,95A5497C
01D80000,95A7BA76
01D90000,95AA2B7A
01DA0000,95AC9C79
01DB0000,95AF0D74
01DC0000,95B17E79
01DD0000,95B3EF74
01DE0000,95B66072
01DF0000,95B8D172
01E00000,95BB4270
01E10000,95BDB370
01E20000,95C02470
01E30000,95C29571
01E40000,95C5066A
01E50000,95C77770
01E60000,95C9E86E
01E70000,95CC596E
01E80000,95CECA6B
01E90000,95D13B69
01EA0000,95D3AC6B
01EB0000,95D61D70
01EC0000,95D88E68
01ED0000,95DAFF6E
01EE0000,95DD7069
01EF0000,95DFE168
01F00000,95E2526E
01F10000,95E4C367
01F20000,95E73465
01F30000,95E9A568
01F40000,95EC1663
01F50000,95EE8763
01F60000,95F0F866
01F70000,95F36966
01F80000,95F5DA5C
01F90000,95F84B5E
01FA0000,95FABC5E
01FB0000,95FD2D5C
01FC0000,95FF9E5C
01FD0000,96020F5A
01FE0000,9604805D
01FF0000,9606F15E
02000000,9609625A
02010000,960BD35A
02020000,960E445A
02030000,9610B556
02040000,9613265A
02050000,96159758
02060000,96180858
02070000,961A7958
02080000,961CEA56
02090000,961F5B56
020A0000,9621CC58
020B0000,96243D52
020C0000,9626AE56
020D0000,96291F56
020E0000,962B9050
020F0000,962E0154
02100000,96307251
02110000,9632E351
02120000,96355452
02130000,9637C54D
02140000,963A364E
02150000,963CA74E
02160000,963F184C
02170000,9641894A
02180000,9643FA4E
02190000,96466B47
021A0000,9648DC4E
021B0000,964B4D4C
021C0000,964DBE46
021D0000,96502F4A
021E0000,9652A047
021F0000,96551143
02200000,96578248
02210000,9659F344
02220000,965C6444
02230000,965ED542
02240000,96614643
02250000,9663B742
02260000,96662844
02270000,9668993E
02280000,966B0A43
02290000,966D7B42
022A0000,966FEC3C
022B0000,96725D41
022C0000,9674CE40
022D0000,96773F3C
022E0000,9679B03E
022F0000,967C2138
02300000,967E923B
02310000,9681033A
02320000,96837438
02330000,9685E539
02340000,96885639
02350000,968AC736
02360000,968D3838
02370000,968FA938
02380000,96921A36
02390000,96948B38
023A0000,9696FC33
023B0000,96996D35
023C0000,969BDE38
023D0000,969E4F2E
023E0000,96A0C032
023F0000,96A33136
02400000,96A5A230
02410000,96A81330
02420000,96AA842E
02430000,96ACF52B
02440000,96AF662E
02450000,96B1D72A
02460000,96B4482C
02470000,96B6B92D
02480000,96B92A27
02490000,96BB9B24
024A0000,96BE0C2C
024B0000,96C07D26
024C0000,96C2EE24
024D0000,96C55F28
024E0000,96C7D024
024F0000,96CA4125
02500000,96CCB226
02510000,96CF2324
02520000,96D19424
02530000,96D40524
02540000,96D6761C
02550000,96D8E71C
02560000,96DB5820
02570000,96DDC91C
02580000,96E03A1C
02590000,96E2AB18
025A0000,96E51C1A
025B0000,96E78D18
025C0000,96E9FE18
025D0000,96EC6F18
025E0000,96EEE018
025F0000,96F15117
02600000,96F3C218
02610000,96F63318
02620000,96F8A418
02630000,96FB1518
02640000,96FD8614
02650000,96FFF712
02660000,9702681C
02670000,9704D911
02680000,97074A14
02690000,9709BB14
026A0000,970C2C12
026B0000,970E9D0E
026C0000,97110E12
026D0000,97137F0C
026E0000,9715F012
026F0000,9718610A
02700000,971AD20A
02710000,971D430E
02720000,971FB40A
02730000,97222508
02740000,9724960A
02750000,97270708
02760000,9729780A
02770000,972BE908
02780000,972E5A06
02790000,9730CB0C
027A0000,97333C06
027B0000,9735AD03
027C0000,97381E06
027D0000,973A8F03
