Timestamp data collected on 2025-06-30 16:27:44
00000001,6CB44506,00000000,6CB1D5C0
00010002,6CB6B606,00010001,6CB446BB
00020003,6CB92703,00020002,6CB6B7BC
00030004,6CBB9804,00030003,6CB928B4
00040005,6CBE0906,00040004,6CBB99BA
00050006,6CC07A04,00050005,6CBE0ABC
00060007,6CC2EB03,00060006,6CC07BB6
00070008,6CC55C03,00070007,6CC2ECB4
00080009,6CC7CD03,00080008,6CC55DB4
0009000A,6CCA3E03,00090009,6CC7CEB8
000A000B,6CCCAF04,000A000A,6CCA3FB4
000B000C,6CCF2002,000B000B,6CCCB0B7
000C000D,6CD19101,000C000C,6CCF21B4
000D000E,6CD40203,000D000D,6CD192B2
000E000F,6CD67302,000E000E,6CD403B4
000F0010,6CD8E401,000F000F,6CD674B4
00100011,6CDB5501,00100010,6CD8E5B4
00110013,6CDDC7C0,00110011,6CDB56B3
00120013,6CE03701,00120012,6CDDC7AF
00130015,6CE2A9C0,00130013,6CE038B0
00140016,6CE51AC0,00140014,6CE2A9AE
00150017,6CE78BC0,00150015,6CE51AAD
00160018,6CE9FCBE,00160016,6CE78BAC
00170019,6CEC6DC0,00170017,6CE9FCA4
00180019,6CEEDD01,00180018,6CEC6DAE
0019001B,6CF14FBE,00190019,6CEEDEB4
001A001C,6CF3C0BA,001A001A,6CF14FA4
001B001D,6CF631C0,001B001B,6CF3C0A0
001C001E,6CF8A2C0,001C001C,6CF631A9
001D001F,6CFB13C0,001D001D,6CF8A2AC
001E0020,6CFD84BC,001E001E,6CFB13A6
001F0021,6CFFF5C0,001F001F,6CFD84A2
00200022,6D0266C0,00200020,6CFFF5A9
00210023,6D04D7B9,00210021,6D0266A5
00220024,6D0748B8,00220022,6D04D7A0
00230025,6D09B9BB,00230023,6D0748A0
00240026,6D0C2AB9,00240024,6D09B9A1
00250027,6D0E9BB4,00250025,6D0C2AA0
00260028,6D110CB6,00260026,6D0E9B9C
00270029,6D137DB6,00270027,6D110C9D
0028002A,6D15EEB6,00280028,6D137D9E
0029002B,6D185FB8,00290029,6D15EE9E
002A002C,6D1AD0B6,002A002A,6D185FA0
002B002D,6D1D41B4,002B002B,6D1AD09C
002C002E,6D1FB2B2,002C002C,6D1D419C
002D002F,6D2223B2,002D002D,6D1FB29B
002E0030,6D2494B3,002E002E,6D222398
