Timestamp data collected on 2025-07-04 16:12:48
00000000,90E46422
00010000,90EE288C
00020000,90F7EB30
00030000,9101B19C
00040000,910B7444
00050000,911538A2
00060000,911EFB4B
00070000,9128C1B4
00080000,91328456
00090000,913C4708
000A0000,91460B60
000B0000,914FD003
000C0000,91599476
000D0000,9163570C
000E0000,916D1B7E
000F0000,9176E014
00100000,9180A480
00110000,918A672A
00120000,91942B86
00130000,919DF034
00140000,91A7B494
00150000,91B1773A
00160000,91BB3BAD
00170000,91C5004C
00180000,91CEC4B6
00190000,91D8875A
001A0000,91E24A03
001B0000,91EC1064
001C0000,91F5D30E
001D0000,91FF9774
001E0000,92095A14
001F0000,9213207E
00200000,921CE322
00210000,9226A788
00220000,92306A2A
00230000,923A3082
00240000,9243F334
00250000,924DB7A0
00260000,92577A48
00270000,926140A6
00280000,926B034E
00290000,9274C7BC
002A0000,927E8A52
002B0000,928850C0
002C0000,92921366
002D0000,929BD606
002E0000,92A59A6E
002F0000,92AF5F18
00300000,92B92382
00310000,92C2E618
00320000,92CCAA86
00330000,92D66F32
00340000,92E033A0
00350000,92E9F638
00360000,92F3BAA0
00370000,92FD7F44
00380000,930743B6
00390000,93110654
003A0000,931ACAC0
003B0000,93248F60
003C0000,932E5202
003D0000,93381662
003E0000,9341D903
003F0000,934B9F70
00400000,93556210
00410000,935F2680
00420000,9368E922
00430000,9372AF92
00440000,937C722B
00450000,93863694
00460000,938FF916
00470000,9399BFA6
00480000,93A38246
00490000,93AD46B4
004A0000,93B70954
004B0000,93C0CFC0
004C0000,93CA925C
004D0000,93D456BB
004E0000,93DE1971
004F0000,93E7DE10
00500000,93F1A278
00510000,93FB650C
00520000,94052987
00530000,940EEE28
00540000,9418B290
00550000,94227528
00560000,942C399C
00570000,9435FE34
00580000,943FC2A4
00590000,9449854A
005A0000,945349B2
005B0000,945D0E4C
005C0000,9466D2BE
005D0000,9470956A
005E0000,947A5801
005F0000,94841E6C
00600000,948DE106
00610000,9497A57C
00620000,94A1681A
00630000,94AB2E7C
00640000,94B4F114
00650000,94BEB590
00660000,94C87832
00670000,94D23EAB
00680000,94DC013E
00690000,94E5C5A1
006A0000,94EF884E
006B0000,94F94EB6
006C0000,9503115C
006D0000,950CD402
006E0000,95169867
006F0000,95205D03
00700000,952A2164
00710000,9533E40A
00720000,953DA87C
00730000,95476D16
00740000,95513186
00750000,955AF424
00760000,9564B893
00770000,956E7D2A
00780000,957841A4
00790000,95820449
007A0000,958BC8B2
007B0000,95958D4F
007C0000,959F51B7
007D0000,95A9145C
007E0000,95B2D8B4
007F0000,95BC9D6C
00800000,95C66003
00810000,95D0247A
00820000,95D9E70E
00830000,95E3AD83
00840000,95ED701C
00850000,95F7348A
00860000,9600F728
00870000,960ABD94
00880000,96148038
00890000,961E449E
008A0000,9628073A
008B0000,9631CDAC
008C0000,963B905A
008D0000,964554B2
008E0000,964F175A
008F0000,9658DC01
00900000,9662A06A
00910000,966C6303
00920000,9676276C
00930000,967FEC16
00940000,9689B07C
00950000,9693731A
00960000,969D378A
00970000,96A6FC38
00980000,96B0C09C
00990000,96BA8333
009A0000,96C447A1
009B0000,96CE0C40
009C0000,96D7D0AC
009D0000,96E1934E
009E0000,96EB57BA
009F0000,96F51C58
00A00000,96FEE0BC
00A10000,9708A368
00A20000,97126606
00A30000,971C2C70
00A40000,9725EF17
00A50000,972FB373
00A60000,97397621
00A70000,97433C8C
00A80000,974CFF28
00A90000,9756C38E
00AA0000,9760863A
00AB0000,976A4CA4
00AC0000,97740F44
00AD0000,977DD3AC
00AE0000,97879654
00AF0000,97915CB5
00B00000,979B1F60
00B10000,97A4E3C0
00B20000,97AEA66F
00B30000,97B86B06
00B40000,97C22F76
00B50000,97CBF218
00B60000,97D5B685
00B70000,97DF7B2B
00B80000,97E93F80
00B90000,97F30228
00BA0000,97FCC69C
00BB0000,98068B35
00BC0000,98104F9C
00BD0000,981A1262
00BE0000,9823D6C0
00BF0000,982D9B56
00C00000,98375FBE
00C10000,9841225C
00C20000,984AE503
00C30000,9854AB68
00C40000,985E6E14
00C50000,98683270
00C60000,9871F51E
00C70000,987BBB7F
00C80000,98857E28
00C90000,988F4294
00CA0000,98990532
00CB0000,98A2CB9C
00CC0000,98AC8E40
00CD0000,98B652B2
00CE0000,98C01544
00CF0000,98C9DBB2
00D00000,98D39E56
00D10000,98DD62BE
00D20000,98E7255D
00D30000,98F0EA0A
00D40000,98FAAE6A
00D50000,99047115
00D60000,990E357A
00D70000,9917FA22
00D80000,9921BE83
00D90000,992B8128
00DA0000,99354594
00DB0000,993F0A30
00DC0000,9948CE9C
00DD0000,9952913C
00DE0000,995C55A4
00DF0000,99661A4D
00E00000,996FDEBE
00E10000,9979A15C
00E20000,99836401
00E30000,998D2A60
00E40000,9996ED03
00E50000,99A0B172
00E60000,99AA7408
00E70000,99B43A81
00E80000,99BDFD1E
00E90000,99C7C17E
00EA0000,99D1841C
00EB0000,99DB4A9C
00EC0000,99E50D32
00ED0000,99EED19C
00EE0000,99F8944A
00EF0000,9A025AAE
00F00000,9A0C1D4C
00F10000,9A15E1BC
00F20000,9A1FA458
00F30000,9A296901
00F40000,9A332D5E
00F50000,9A3CF1C0
00F60000,9A46B472
00F70000,9A507914
00F80000,9A5A3D7E
00F90000,9A640019
00FA0000,9A6DC488
00FB0000,9A778928
00FC0000,9A814D8E
00FD0000,9A8B1032
00FE0000,9A94D4AD
00FF0000,9A9E993B
01000000,9AA85DA6
01010000,9AB2205A
01020000,9ABBE4C0
01030000,9AC5A959
01040000,9ACF6DBC
01050000,9AD9306C
01060000,9AE2F308
01070000,9AECB976
01080000,9AF67C12
01090000,9B00407A
010A0000,9B0A0328
010B0000,9B13C982
010C0000,9B1D8C22
010D0000,9B275092
010E0000,9B311339
010F0000,9B3AD9A0
01100000,9B449C44
01110000,9B4E60B0
01120000,9B582356
01130000,9B61E9BC
01140000,9B6BAC63
01150000,9B756F03
01160000,9B7F3364
01170000,9B88F80A
01180000,9B92BC76
01190000,9B9C7F12
011A0000,9BA64381
011B0000,9BB00805
011C0000,9BB9CC91
011D0000,9BC38F34
011E0000,9BCD5398
011F0000,9BD7182E
01200000,9BE0DCB2
01210000,9BEA9F40
01220000,9BF463AC
01230000,9BFE2852
01240000,9C07ECBD
01250000,9C11AF6A
01260000,9C1B73C0
01270000,9C25386D
01280000,9C2EFB05
01290000,9C38BF76
012A0000,9C428214
012B0000,9C4C488C
012C0000,9C560B23
012D0000,9C5FCF7F
012E0000,9C69922E
012F0000,9C735894
01300000,9C7D1B3C
01310000,9C86DFA0
01320000,9C90A24A
01330000,9C9A68B4
01340000,9CA42B5C
01350000,9CADEFBE
01360000,9CB7B25A
01370000,9CC178C0
01380000,9CCB3B6A
01390000,9CD4FE03
013A0000,9CDEC26A
013B0000,9CE88720
013C0000,9CF24B8A
013D0000,9CFC0E1A
013E0000,9D05D292
013F0000,9D0F9739
01400000,9D195B9C
01410000,9D231E39
01420000,9D2CE2A2
01430000,9D36A74E
01440000,9D406BB4
01450000,9D4A2E54
01460000,9D53F2C0
01470000,9D5DB767
01480000,9D677A01
01490000,9D713E6A
014A0000,9D7B0112
014B0000,9D84C772
014C0000,9D8E8A19
014D0000,9D984E7E
014E0000,9DA2112A
014F0000,9DABD78A
01500000,9DB59A32
01510000,9DBF5E9D
01520000,9DC9213A
01530000,9DD2E7AC
01540000,9DDCAA46
01550000,9DE66EB4
01560000,9DF0315A
01570000,9DF9F7C0
01580000,9E03BA5C
01590000,9E0D7D0A
015A0000,9E17416C
015B0000,9E210612
015C0000,9E2ACA77
015D0000,9E348D1C
015E0000,9E3E5183
015F0000,9E481621
01600000,9E51DA8E
01610000,9E5B9D33
01620000,9E6561A4
01630000,9E6F263E
01640000,9E78EAA1
01650000,9E82AD4A
01660000,9E8C71BE
01670000,9E963656
01680000,9E9FF901
01690000,9EA9BD63
016A0000,9EB38004
016B0000,9EBD466E
016C0000,9EC70912
016D0000,9ED0CD7A
016E0000,9EDA901B
016F0000,9EE45685
01700000,9EEE1928
01710000,9EF7DD94
01720000,9F01A036
01730000,9F0B6697
01740000,9F152948
01750000,9F1EEDB4
01760000,9F28B044
01770000,9F3276C0
01780000,9F3C395C
