Timestamp data collected on 2025-07-04 15:19:18
00000000,773C9078,00000001,773E58B6
00010002,019F754C,00010002,019F7503
00020003,01A0AEAE,00020003,01A0AE5D
00030004,01A1E654,00030004,01A1E614
00040005,01A31FB4,00040005,01A31F79
00050006,01A4574D,00050006,01A4570C
00060007,01A590B4,00060007,01A59076
00070008,01A6C849,00070008,01A6C80A
00080009,01A801A2,00080009,01A80166
0009000A,01A9394E,0009000A,01A9390A
000A000B,01AA72AF,000A000B,01AA7270
000B000C,01ABAA43,000B000C,01ABAA03
000C000D,01ACE3B4,000C000D,01ACE370
000D000E,01AE1B46,000D000E,01AE1B08
000E000F,01AF54A4,000E000F,01AF5465
000F0010,01B08C48,000F0010,01B08C04
00100011,01B1C5A2,00100011,01B1C569
00110012,01B2FD42,00110012,01B2FD02
00120013,01B436AA,00120013,01B4366C
00130014,01B56E3C,00130014,01B56E03
00140015,01B6A7A7,00140015,01B6A767
00150016,01B7DF3E,00150016,01B7DF02
00160017,01B918B0,00160017,01B91868
00170018,01BA5040,00170018,01BA5002
00180019,01BB89A2,00180019,01BB8960
0019001A,01BCC14A,0019001A,01BCC106
001A001B,01BDFA9C,001A001B,01BDFA5F
001B001C,01BF323E,001B001C,01BF3201
001C001D,01C06BB2,001C001D,01C06B7E
001D001E,01C1A35A,001D001E,01C1A323
001E001F,01C2DCBE,001E001F,01C2DC8E
001F0020,01C41454,001F0020,01C41420
00200021,01C54DC0,00200021,01C54D8C
00210022,01C68556,00210022,01C68520
00220023,01C7BEC0,00220023,01C7BE90
00230024,01C8F654,00230024,01C8F620
00240025,01CA2FBC,00240025,01CA2F88
00250026,01CB6756,00250026,01CB6723
00260027,01CCA0C0,00260027,01CCA08C
00270028,01CDD84E,00270028,01CDD81E
00280029,01CF11B6,00280029,01CF1188
0029002A,01D04952,0029002A,01D04920
002A002B,01D182B4,002A002B,01D18282
002B002C,01D2BA59,002B002C,01D2BA20
002C002D,01D3F3BA,002C002D,01D3F388
002D002E,01D52B56,002D002E,01D52B20
002E002F,01D664B4,002E002F,01D66488
002F0030,01D79C54,002F0030,01D79C20
00300031,01D8D5B4,00300031,01D8D588
00310032,01DA0D4E,00310032,01DA0D1B
00320033,01DB46B7,00320033,01DB4688
00330034,01DC7E4B,00330034,01DC7E14
00340035,01DDB7B6,00340035,01DDB786
00350036,01DEEF4D,00350036,01DEEF19
00360037,01E028B4,00360037,01E0287E
00370038,01E1604E,00370038,01E1601C
00380039,01E299B4,00380039,01E29985
0039003A,01E3D152,0039003A,01E3D11E
003A003B,01E50AB6,003A003B,01E50A86
003B003C,01E64254,003B003C,01E6421E
003C003D,01E77BB4,003C003D,01E77B85
003D003E,01E8B346,003D003E,01E8B314
003E003F,01E9ECB4,003E003F,01E9EC7E
003F0040,01EB244E,003F0040,01EB241B
00400041,01EC5DAC,00400041,01EC5D7C
00410042,01ED954C,00410042,01ED9515
00420043,01EECEB4,00420043,01EECE82
00430044,01F00642,00430044,01F00612
00440045,01F13FB3,00440045,01F13F7C
00450046,01F27754,00450046,01F2771C
00460047,01F3B0AE,00460047,01F3B07B
00470048,01F4E84C,00470048,01F4E815
00480049,01F621B4,00480049,01F62181
0049004A,01F75942,0049004A,01F75914
004A004B,01F892AC,004A004B,01F8927C
004B004C,01F9CA4A,004B004C,01F9CA14
004C004D,01FB03AB,004C004D,01FB037C
004D004E,01FC3B44,004D004E,01FC3B14
004E004F,01FD74B2,004E004F,01FD747C
004F0050,01FEAC3F,004F0050,01FEAC12
00500051,01FFE5A4,00500051,01FFE574
00510052,02011D4A,00510052,02011D14
00520053,020256A4,00520053,02025676
00530054,02038E48,00530054,02038E12
00540055,0204C7AC,00540055,0204C77B
00550056,0205FF42,00550056,0205FF12
00560057,020738AC,00560057,02073879
00570058,02087048,00570058,02087014
00580059,0209A9A4,00580059,0209A978
0059005A,020AE13E,0059005A,020AE10C
005A005B,020C1AA6,005A005B,020C1A76
005B005C,020D5239,005B005C,020D520A
005C005D,020E8BA0,005C005D,020E8B70
005D005E,020FC342,005D005E,020FC312
005E005F,0210FCA3,005E005F,0210FC76
005F0060,0212343C,005F0060,0212340C
00600061,02136DA5,00600061,02136D76
00610062,0214A544,00610062,0214A514
00620063,0215DEA2,00620063,0215DE72
00630064,0217163E,00630064,0217160E
00640065,02184FA6,00640065,02184F76
00650066,0219873E,00650066,0219870A
00660067,021AC0A0,00660067,021AC072
00670068,021BF83A,00670068,021BF80A
00680069,021D31A0,00680069,021D3170
0069006A,021E6936,0069006A,021E6908
006A006B,021FA29F,006A006B,021FA272
006B006C,0220DA38,006B006C,0220DA06
006C006D,022213A2,006C006D,02221374
006D006E,02234B3A,006D006E,02234B0C
006E006F,022484A0,006E006F,02248472
006F0070,0225BC3E,006F0070,0225BC0E
00700071,0226F59F,00700071,0226F572
00710072,02282D34,00710072,02282D04
00720073,0229669C,00720073,0229666E
00730074,022A9E36,00730074,022A9E08
00740075,022BD7A2,00740075,022BD772
00750076,022D0F39,00750076,022D0F08
00760077,022E489F,00760077,022E4870
00770078,022F803E,00770078,022F800B
00780079,0230B99C,00780079,0230B96E
0079007A,0231F134,0079007A,0231F106
007A007B,02332A9C,007A007B,02332A6E
007B007C,0234622C,007B007C,02346203
007C007D,02359B94,007C007D,02359B6A
007D007E,0236D33E,007D007E,0236D30C
007E007F,02380C94,007E007F,02380C6A
007F0080,02394432,007F0080,02394404
00800081,023A7DA0,00800081,023A7D70
00810082,023BB530,00810082,023BB504
00820083,023CEE96,00820083,023CEE69
00830084,023E2635,00830084,023E2607
00840085,023F5F95,00840085,023F5F6A
00850086,02409736,00850086,02409705
00860087,0241D094,00860087,0241D06A
00870088,02430836,00870088,02430804
00880089,02444199,00880089,0244416A
0089008A,02457936,0089008A,02457906
008A008B,0246B29C,008A008B,0246B26A
008B008C,0247EA28,008B008C,0247EA01
008C008D,02492396,008C008D,02492369
008D008E,024A5B28,008D008E,024A5B02
008E008F,024B948C,008E008F,024B9460
008F0090,024CCC31,008F0090,024CCC04
00900091,024E058E,00900091,024E0563
00910092,024F3D2A,00910092,024F3D02
00920093,02507690,00920093,02507666
00930094,0251AE2C,00930094,0251AE02
00940095,0252E792,00940095,0252E766
00950096,02541F2E,00950096,02541F03
00960097,02555894,00960097,02555866
00970098,02569026,00970098,02569001
00980099,0257C98C,00980099,0257C960
0099009A,0259012C,0099009A,02590102
009A009B,025A3A8A,009A009B,025A3A5E
009B009C,025B722C,009B009C,025B7201
009C009D,025CAB94,009C009D,025CAB66
009D009E,025DE328,009D009E,025DE301
009E009F,025F1C8C,009E009F,025F1C60
009F00A0,0260542A,009F00A0,02605402
00A000A1,02618D8E,00A000A1,02618D62
00A100A2,0262C526,00A100A2,0262C501
00A200A3,0263FE8A,00A200A3,0263FE5D
00A300A3,02653620,00A300A4,026537C0
00A400A5,02666F80,00A400A5,02666F58
00A500A5,0267A726,00A500A6,0267A8C0
00A600A7,0268E08C,00A600A7,0268E060
00A700A7,026A1820,00A700A8,026A19C0
00A800A9,026B518A,00A800A9,026B515E
00A900AA,026C8924,00A900AA,026C8901
00AA00AB,026DC282,00AA00AB,026DC25A
00AB00AB,026EFA22,00AB00AC,026EFBC0
00AC00AD,0270338A,00AC00AD,0270335E
00AD00AD,02716B20,00AD00AE,02716CBF
00AE00AF,0272A48A,00AE00AF,0272A45E
00AF00AF,0273DC26,00AF00B0,0273DDC0
00B000B1,02751586,00B000B1,0275155A
00B100B1,02764D1B,00B100B2,02764EC0
00B200B3,02778683,00B200B3,02778658
00B300B3,0278BE1C,00B300B4,0278BFBF
00B400B5,0279F780,00B400B5,0279F758
00B500B5,027B2F20,00B500B6,027B30C0
00B600B7,027C6883,00B600B7,027C685A
00B700B7,027DA016,00B700B8,027DA1BA
00B800B9,027ED985,00B800B9,027ED95A
00B900B9,0280111A,00B900BA,028012C0
00BA00BB,02814A82,00BA00BB,02814A56
00BB00BB,02828220,00BB00BC,028283C0
00BC00BD,0283BB81,00BC00BD,0283BB56
00BD00BD,0284F320,00BD00BE,0284F4BF
00BE00BF,02862C80,00BE00BF,02862C58
00BF00BF,0287641A,00BF00C0,028765BB
00C000C1,02889D80,00C000C1,02889D56
00C100C1,0289D518,00C100C2,0289D6BE
00C200C3,028B0E82,00C200C3,028B0E58
00C300C3,028C4612,00C300C4,028C47B8
00C400C5,028D7F7E,00C400C5,028D7F54
00C500C5,028EB71A,00C500C6,028EB8BC
00C600C7,028FF07C,00C600C7,028FF050
00C700C7,0291281C,00C700C8,029129BE
00C800C9,0292617C,00C800C9,02926156
00C900C9,02939916,00C900CA,02939AB8
00CA00CB,0294D27C,00CA00CB,0294D252
00CB00CB,02960A18,00CB00CC,02960BB8
00CC00CD,0297437C,00CC00CD,0297434E
00CD00CD,02987B12,00CD00CE,02987CB5
00CE00CF,0299B47F,00CE00CF,0299B456
00CF00CF,029AEC12,00CF00D0,029AEDB6
00D000D1,029C2578,00D000D1,029C254E
00D100D1,029D5D0F,00D100D2,029D5EB5
00D200D3,029E9678,00D200D3,029E964C
00D300D3,029FCE0E,00D300D4,029FCFB2
00D400D5,02A1077E,00D400D5,02A10755
00D500D5,02A23F10,00D500D6,02A240B6
00D600D7,02A3787E,00D600D7,02A37851
00D700D7,02A4B014,00D700D8,02A4B1B8
00D800D9,02A5E97A,00D800D9,02A5E94E
00D900D9,02A7210E,00D900DA,02A722B6
00DA00DB,02A85A7C,00DA00DB,02A85A4E
00DB00DB,02A99212,00DB00DC,02A993B6
00DC00DD,02AACB78,00DC00DD,02AACB4A
00DD00DD,02AC030C,00DD00DE,02AC04B2
00DE00DF,02AD3C74,00DE00DF,02AD3C46
00DF00DF,02AE740C,00DF00E0,02AE75B2
00E000E1,02AFAD7A,00E000E1,02AFAD4C
00E100E1,02B0E510,00E100E2,02B0E6B4
00E200E3,02B21E70,00E200E3,02B21E48
00E300E3,02B35610,00E300E4,02B357B6
00E400E5,02B48F72,00E400E5,02B48F4B
00E500E5,02B5C70A,00E500E6,02B5C8B0
00E600E7,02B70072,00E600E7,02B70048
00E700E7,02B8380C,00E700E8,02B839B2
